Pattern,Matches,MatchesText,Use,Clue,Pair,Quality,Difficulty
safe_y,"['safety', 'safely']",safety safely,,,,,
i_land,"['island', 'inland']",island inland,,,,,
_ormed,"['formed', 'wormed']",formed wormed,,,,,
for_ed,"['formed', 'forced', 'forked', 'forted']",formed forced forked forted,,,,,
_ation,"['nation', 'ration', 'cation', 'lation', 'sation']",nation ration cation lation sation,,,,,
n_tion,"['nation', 'notion']",nation notion,,,,,
na_ion,"['nation', 'nasion']",nation nasion,,,,,
nat_on,"['nation', 'natron']",nation natron,,,,,
_ollow,"['follow', 'hollow', 'collow']",follow hollow collow,,,,,
f_llow,"['follow', 'fellow', 'fallow']",follow fellow fallow,,,,,
_aster,"['master', 'faster', 'easter', 'caster', 'gaster', 'taster', 'waster', 'laster', 'paster']",master faster easter caster gaster taster waster laster paster,,,,,
m_ster,"['master', 'muster', 'mister', 'mester']",master muster mister mester,,,,,
mas_er,"['master', 'masher', 'masker', 'masser']",master masher masker masser,,,,,
maste_,"['master', 'masted']",master masted,,,,,
statu_,"['status', 'statue', 'statua']",status statue statua,,,,,
f_ctor,"['factor', 'fictor']",factor fictor,,,,,
fa_tor,"['factor', 'fautor']",factor fautor,,,,,
poli_e,"['police', 'polite', 'polive']",police polite polive,,,,,
s_ring,"['spring', 'string']",spring string,,,,,
spr_ng,"['spring', 'sprang', 'sprung', 'sprong']",spring sprang sprung sprong,,,,,
sprin_,"['spring', 'sprint']",spring sprint,,,,,
_ummer,"['summer', 'hummer', 'bummer', 'gummer', 'mummer', 'rummer']",summer hummer bummer gummer mummer rummer,,,,,
s_mmer,"['summer', 'simmer']",summer simmer,,,,,
sum_er,"['summer', 'sumner']",summer sumner,,,,,
_emain,"['remain', 'demain']",remain demain,,,,,
re_ain,"['remain', 'retain', 'regain']",remain retain regain,,,,,
effor_,"['effort', 'efform']",effort efform,,,,,
raise_,"['raised', 'raiser']",raised raiser,,,,,
impa_t,"['impact', 'impart']",impact impart,,,,,
_ighly,"['highly', 'nighly']",highly nighly,,,,,
me_ely,"['merely', 'metely']",merely metely,,,,,
_hrist,"['christ', 'thrist']",christ thrist,,,,,
chris_,"['christ', 'chrism']",christ chrism,,,,,
squ_re,"['square', 'squire']",square squire,,,,,
squa_e,"['square', 'squame']",square squame,,,,,
in_ide,"['inside', 'incide']",inside incide,,,,,
_elief,"['relief', 'belief']",relief belief,,,,,
relie_,"['relief', 'relier']",relief relier,,,,,
bud_et,"['budget', 'budlet']",budget budlet,,,,,
budge_,"['budget', 'budger']",budget budger,,,,,
an_mal,"['animal', 'anomal']",animal anomal,,,,,
_ranch,"['branch', 'cranch']",branch cranch,,,,,
b_anch,"['branch', 'blanch']",branch blanch,,,,,
_rying,"['trying', 'drying', 'crying', 'frying', 'prying']",trying drying crying frying prying,,,,,
_inter,"['winter', 'sinter', 'minter', 'cinter']",winter sinter minter cinter,,,,,
win_er,"['winter', 'winner', 'winder', 'winger', 'winker', 'wincer']",winter winner winder winger winker wincer,,,,,
_eaves,"['leaves', 'heaves']",leaves heaves,,,,,
l_aves,"['leaves', 'loaves']",leaves loaves,,,,,
leave_,"['leaves', 'leaved', 'leaven', 'leaver']",leaves leaved leaven leaver,,,,,
_ouble,"['double', 'rouble']",double rouble,,,,,
do_ble,"['double', 'doable']",double doable,,,,,
doubl_,"['double', 'doubly']",double doubly,,,,,
_ental,"['mental', 'dental', 'rental', 'cental']",mental dental rental cental,,,,,
me_tal,"['mental', 'meatal']",mental meatal,,,,,
men_al,"['mental', 'menial', 'mensal']",mental menial mensal,,,,,
_aying,"['saying', 'laying', 'maying']",saying laying maying,,,,,
s_ying,"['saying', 'snying']",saying snying,,,,,
sa_ing,"['saying', 'saving']",saying saving,,,,,
speec_,"['speech', 'speece']",speech speece,,,,,
crea_e,"['create', 'crease', 'creaze']",create crease creaze,,,,,
_iscal,"['fiscal', 'discal']",fiscal discal,,,,,
_alley,"['valley', 'galley']",valley galley,,,,,
v_lley,"['valley', 'volley']",valley volley,,,,,
ma_ked,"['marked', 'masked']",marked masked,,,,,
b_ston,"['boston', 'baston']",boston baston,,,,,
_oving,"['moving', 'loving', 'roving', 'coving']",moving loving roving coving,,,,,
mo_ing,"['moving', 'mowing']",moving mowing,,,,,
centr_,"['centre', 'centry']",centre centry,,,,,
p_ease,"['please', 'prease']",please prease,,,,,
_ative,"['native', 'dative', 'sative']",native dative sative,,,,,
_educe,"['reduce', 'deduce', 'seduce']",reduce deduce seduce,,,,,
reduc_,"['reduce', 'reduct']",reduce reduct,,,,,
_ermit,"['permit', 'hermit']",permit hermit,,,,,
per_it,"['permit', 'perfit']",permit perfit,,,,,
permi_,"['permit', 'permix']",permit permix,,,,,
str_ss,"['stress', 'strass']",stress strass,,,,,
asse_s,"['assets', 'assess']",assets assess,,,,,
atta_k,"['attack', 'attask']",attack attask,,,,,
attac_,"['attack', 'attach']",attack attach,,,,,
_edium,"['medium', 'tedium']",medium tedium,,,,,
mediu_,"['medium', 'medius']",medium medius,,,,,
_amage,"['damage', 'ramage']",damage ramage,,,,,
d_mage,"['damage', 'domage']",damage domage,,,,,
_earch,"['search', 'pearch']",search pearch,,,,,
s_arch,"['search', 'starch']",search starch,,,,,
searc_,"['search', 'searce']",search searce,,,,,
s_lver,"['silver', 'solver', 'salver']",silver solver salver,,,,,
sil_er,"['silver', 'siller']",silver siller,,,,,
acce_t,"['accept', 'accent']",accept accent,,,,,
_ridge,"['bridge', 'fridge']",bridge fridge,,,,,
bri_ge,"['bridge', 'brigge']",bridge brigge,,,,,
brid_e,"['bridge', 'bridle']",bridge bridle,,,,,
injur_,"['injury', 'injure']",injury injure,,,,,
sche_e,"['scheme', 'schene']",scheme schene,,,,,
schem_,"['scheme', 'schema']",scheme schema,,,,,
_ector,"['sector', 'vector', 'rector', 'hector', 'lector']",sector vector rector hector lector,,,,,
_ravel,"['travel', 'gravel']",travel gravel,,,,,
pro_it,"['profit', 'prosit']",profit prosit,,,,,
_attle,"['battle', 'cattle', 'rattle', 'wattle', 'tattle']",battle cattle rattle wattle tattle,,,,,
b_ttle,"['battle', 'bottle']",battle bottle,,,,,
bat_le,"['battle', 'batule']",battle batule,,,,,
batt_e,"['battle', 'battue']",battle battue,,,,,
exc_ss,"['excess', 'excuss']",excess excuss,,,,,
win_ow,"['window', 'winnow', 'winrow']",window winnow winrow,,,,,
_etail,"['detail', 'retail']",detail retail,,,,,
de_ail,"['detail', 'derail', 'defail']",detail derail defail,,,,,
detai_,"['detail', 'detain']",detail detain,,,,,
_ining,"['mining', 'dining', 'lining', 'fining', 'pining']",mining dining lining fining pining,,,,,
mi_ing,"['mining', 'miting']",mining miting,,,,,
_roken,"['broken', 'wroken']",broken wroken,,,,,
broke_,"['broken', 'broker']",broken broker,,,,,
ex_ect,"['expect', 'exsect']",expect exsect,,,,,
expe_t,"['expect', 'expert']",expect expert,,,,,
ac_ing,"['acting', 'aching']",acting aching,,,,,
_ought,"['sought', 'bought', 'fought', 'nought', 'rought', 'mought']",sought bought fought nought rought mought,,,,,
_ellow,"['yellow', 'fellow', 'mellow', 'bellow']",yellow fellow mellow bellow,,,,,
d_ctor,"['doctor', 'ductor']",doctor ductor,,,,,
_anger,"['danger', 'ranger', 'hanger', 'manger', 'ganger', 'wanger']",danger ranger hanger manger ganger wanger,,,,,
da_ger,"['danger', 'dagger']",danger dagger,,,,,
dan_er,"['danger', 'dancer', 'dander']",danger dancer dander,,,,,
_evere,"['severe', 'revere']",severe revere,,,,,
sever_,"['severe', 'severy']",severe severy,,,,,
_arine,"['marine', 'narine', 'warine', 'larine']",marine narine warine larine,,,,,
m_rine,"['marine', 'murine']",marine murine,,,,,
mar_ne,"['marine', 'marone']",marine marone,,,,,
_ecure,"['secure', 'recure']",secure recure,,,,,
car_on,"['carbon', 'carton']",carbon carton,,,,,
carbo_,"['carbon', 'carboy']",carbon carboy,,,,,
_welve,"['twelve', 'swelve']",twelve swelve,,,,,
force_,"['forced', 'forcer']",forced forcer,,,,,
_arden,"['garden', 'warden', 'harden']",garden warden harden,,,,,
gard_n,"['garden', 'gardon']",garden gardon,,,,,
_eform,"['reform', 'deform']",reform deform,,,,,
_ancer,"['cancer', 'dancer', 'lancer']",cancer dancer lancer,,,,,
can_er,"['cancer', 'canker', 'canter']",cancer canker canter,,,,,
cance_,"['cancer', 'cancel']",cancer cancel,,,,,
w_iter,"['writer', 'waiter']",writer waiter,,,,,
a_sume,"['assume', 'absume']",assume absume,,,,,
assu_e,"['assume', 'assure']",assume assure,,,,,
_opper,"['copper', 'hopper', 'popper', 'topper', 'sopper', 'dopper', 'lopper']",copper hopper popper topper sopper dopper lopper,,,,,
c_pper,"['copper', 'capper', 'cupper']",copper capper cupper,,,,,
co_per,"['copper', 'cooper']",copper cooper,,,,,
cop_er,"['copper', 'copier', 'copyer']",copper copier copyer,,,,,
coppe_,"['copper', 'copped', 'coppel']",copper copped coppel,,,,,
vesse_,"['vessel', 'vesses']",vessel vesses,,,,,
_eader,"['reader', 'leader', 'header']",reader leader header,,,,,
re_der,"['reader', 'render']",reader render,,,,,
rea_er,"['reader', 'reaper', 'reamer', 'reaver', 'rearer']",reader reaper reamer reaver rearer,,,,,
devi_e,"['device', 'devise']",device devise,,,,,
pr_nce,"['prince', 'prance']",prince prance,,,,,
car_er,"['career', 'carter', 'carver', 'carper', 'carder']",career carter carver carper carder,,,,,
caree_,"['career', 'careen']",career careen,,,,,
_ainly,"['mainly', 'vainly', 'gainly']",mainly vainly gainly,,,,,
_ister,"['sister', 'mister', 'lister', 'bister', 'dister']",sister mister lister bister dister,,,,,
s_ster,"['sister', 'suster']",sister suster,,,,,
si_ter,"['sister', 'sitter', 'sinter', 'sifter']",sister sitter sinter sifter,,,,,
l_ader,"['leader', 'loader']",leader loader,,,,,
le_der,"['leader', 'lender']",leader lender,,,,,
lea_er,"['leader', 'leaver', 'leaper', 'leamer', 'leaser']",leader leaver leaper leamer leaser,,,,,
leade_,"['leader', 'leaden', 'leaded']",leader leaden leaded,,,,,
aven_e,"['avenue', 'avenge']",avenue avenge,,,,,
c_osen,"['chosen', 'closen']",chosen closen,,,,,
_nsure,"['ensure', 'insure']",ensure insure,,,,,
en_ure,"['ensure', 'endure', 'enmure']",ensure endure enmure,,,,,
fo_mal,"['formal', 'fotmal']",formal fotmal,,,,,
form_l,"['formal', 'formyl']",formal formyl,,,,,
forma_,"['formal', 'format']",formal format,,,,,
_nable,"['unable', 'enable', 'inable']",unable enable inable,,,,,
u_able,"['unable', 'usable']",unable usable,,,,,
ex_ort,"['export', 'exhort', 'extort']",export exhort extort,,,,,
exp_rt,"['export', 'expert']",export expert,,,,,
s_ream,"['stream', 'scream']",stream scream,,,,,
str_am,"['stream', 'stroam']",stream stroam,,,,,
strea_,"['stream', 'streak']",stream streak,,,,,
ad_ice,"['advice', 'addice']",advice addice,,,,,
advi_e,"['advice', 'advise']",advice advise,,,,,
fello_,"['fellow', 'felloe', 'fellon']",fellow felloe fellon,,,,,
re_ove,"['remove', 'relove']",remove relove,,,,,
rem_ve,"['remove', 'remeve']",remove remeve,,,,,
remo_e,"['remove', 'remote']",remove remote,,,,,
_retty,"['pretty', 'fretty']",pretty fretty,,,,,
s_rike,"['strike', 'shrike', 'skrike']",strike shrike skrike,,,,,
